brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
109906.0,for_sale,575000.0,3.0,2.0,3.88,1312671.0,San Sebastian,Puerto Rico,685.0,4000.0,
46019.0,for_sale,140000.0,6.0,3.0,0.25,6710.0,Anasco,Puerto Rico,610.0,1230.0,
52707.0,for_sale,50000.0,2.0,1.0,0.23,1902835.0,Yauco,Puerto Rico,698.0,621.0,
52707.0,for_sale,165000.0,6.0,3.0,0.1,117231.0,Moca,Puerto Rico,676.0,3000.0,
81909.0,for_sale,189000.0,3.0,1.0,2.0,1307740.0,Coamo,Puerto Rico,769.0,1213.0,
52707.0,for_sale,115000.0,3.0,2.0,,481889.0,Ponce,Puerto Rico,716.0,1148.0,
12434.0,for_sale,122500.0,3.0,2.0,0.05,437877.0,Yauco,Puerto Rico,698.0,1118.0,
52464.0,for_sale,255000.0,3.0,2.0,0.28,1948621.0,San Sebastian,Puerto Rico,685.0,1500.0,
81495.0,for_sale,425000.0,4.0,3.0,0.3,955013.0,Ponce,Puerto Rico,730.0,3000.0,
87549.0,for_sale,93000.0,4.0,2.0,0.11,1854860.0,Guayanilla,Puerto Rico,656.0,1300.0,
92147.0,for_sale,75000.0,4.0,2.0,0.04,511838.0,Manati,Puerto Rico,676.0,1080.0,
29915.0,for_sale,469000.0,3.0,2.0,0.69,1857020.0,Isabela,Puerto Rico,662.0,2505.0,
52707.0,for_sale,189000.0,6.0,3.0,1.75,1902849.0,Villalba,Puerto Rico,766.0,1943.0,
52707.0,for_sale,225000.0,5.0,4.0,0.12,1987398.0,Ponce,Puerto Rico,717.0,1600.0,
67133.0,for_sale,495000.0,4.0,2.0,3.08,1962660.0,Santa Isabel,Puerto Rico,757.0,2886.0,
86036.0,for_sale,220000.0,1.0,1.0,0.1,523790.0,Ponce,Puerto Rico,730.0,850.0,
52707.0,for_sale,70500.0,3.0,1.0,0.23,1856955.0,Yauco,Puerto Rico,698.0,936.0,
3606.0,for_sale,305000.0,3.0,2.0,1.13,1902855.0,Moca,Puerto Rico,676.0,1928.0,
109906.0,for_sale,475000.0,4.0,4.0,4.84,1940314.0,San Sebastian,Puerto Rico,685.0,3690.0,
1502.0,for_sale,195000.0,3.0,4.0,1.94,1856898.0,Utuado,Puerto Rico,641.0,2500.0,
109906.0,for_sale,120000.0,4.0,2.0,0.24,1667467.0,Las Marias,Puerto Rico,670.0,1800.0,
52707.0,for_sale,650000.0,9.0,7.0,0.46,1902746.0,Mayaguez,Puerto Rico,680.0,3709.0,
86036.0,for_sale,555000.0,5.0,3.0,0.16,480944.0,Ponce,Puerto Rico,730.0,3100.0,
63639.0,for_sale,3900000.0,6.0,6.0,0.94,269007.0,Penuelas,Puerto Rico,624.0,9297.0,
52707.0,for_sale,400000.0,,,0.99,1857015.0,Moca,Puerto Rico,676.0,43082.0,
80224.0,for_sale,380000.0,,,18.45,1855421.0,Hatillo,Puerto Rico,659.0,,
52707.0,for_sale,95000.0,3.0,2.0,0.1,1868667.0,Aguada,Puerto Rico,602.0,600.0,
87549.0,for_sale,74000.0,3.0,1.0,0.09,1902824.0,Aguada,Puerto Rico,602.0,900.0,
108122.0,for_sale,139500.0,4.0,2.0,0.15,397960.0,Aguada,Puerto Rico,602.0,3000.0,
72457.0,for_sale,149900.0,1.0,1.0,0.26,1850822.0,Aguada,Puerto Rico,602.0,2100.0,
15143.0,for_sale,180000.0,2.0,2.0,0.24,1234696.0,Aguada,Puerto Rico,602.0,1138.0,
52707.0,for_sale,249000.0,3.0,2.0,0.13,1902736.0,Aguada,Puerto Rico,602.0,1380.0,
